column,missing_ratio,missing_count
ticker,0.0,0
caller,0.0,0
timestamp,0.0,0
Open,0.0,0
high,0.0,0
close,0.0,0
low,0.0,0
supply,0.0,0
eth_daily_tx,0.0,0
google_trend,0.0,0
eth_rolling_beta,0.00028190189813944745,24
market_cap,0.0,0
volume,0.0,0
btc_open,0.0,0
btc_high,0.0,0
btc_low,0.0,0
btc_close,0.0,0
btc_volume,0.0,0
sp500,0.0,0
nasdaq,0.0,0
dow30,0.0,0
vix,0.0,0
gold,0.0,0
crude_oil,0.0,0
nikkei225,0.0,0
ftse100,0.0,0
sse,0.0,0
eurostoxx,0.0,0
eth_return,1.1745912422476978e-05,1
btc_return,1.1745912422476978e-05,1
