feature,reconstruction_mse
Open,0.012518726963937953
high,0.012433965992279635
close,0.012488671224801075
low,0.012597705316401758
supply,0.036941593705769264
eth_daily_tx,0.05906601225469712
google_trend,0.10690800653078653
eth_rolling_beta,0.019188173177469552
market_cap,0.013145395460083144
volume,0.09883294550214906
btc_open,0.016347753659485834
btc_high,0.01641624524195964
btc_low,0.016347071958493647
btc_close,0.016399854126221716
btc_volume,0.09268831176230534
sp500,0.009055556960681287
nasdaq,0.013732376943139418
dow30,0.010890230586224627
vix,0.013498325394640496
gold,0.029022324946491058
crude_oil,0.021077068048253704
nikkei225,0.036481012908434876
ftse100,0.055294393427609834
sse,0.0487568688642222
eurostoxx,0.02921970541257586
eth_return,0.14039464414241457
btc_return,0.14134236651933924
