feature,vif
Open,66623.8420249764
high,82055.31600293831
close,83468.80325207976
low,54448.78003758825
supply,27.062964856570815
eth_daily_tx,18.556644219562507
google_trend,3.920266439258365
eth_rolling_beta,1.636122761063103
market_cap,5351.6399152795675
volume,3.2984746499320603
btc_open,152711.29310348057
btc_high,169390.41926178962
btc_low,135035.05056742326
btc_close,178129.4954803051
btc_volume,3.1314551122555314
sp500,804.6146140243665
nasdaq,326.76750380642545
dow30,242.6404196466132
vix,4.489514479382376
gold,47.03919787918396
crude_oil,4.7223865207969284
nikkei225,34.07491143199356
ftse100,14.280313294761173
sse,3.9928645655068835
eurostoxx,38.44710812984377
eth_return,2.8496423193380367
btc_return,2.9469072343329934
