feature,reconstruction_mse
low,0.0005734778179127862
high,0.0005909193548830849
Open,0.0005785198153346196
close,0.0005682675667064282
volume,0.09910774301652694
supply,0.034523583330633316
eth_daily_tx,0.041922469208997955
google_trend,0.013874700807621454
market_cap,0.0007206412111585109
btc_open,0.0009253503637436627
btc_high,0.0009610632059729633
btc_low,0.0009250213957049319
btc_close,0.000948350572819073
btc_volume,0.08055673862955204
eth_rolling_beta,0.00613288190667279
eth_return,0.14190522303408104
btc_return,0.14210293702432597
