ticker,caller,timestamp,Open,high,close,low,supply,market_cap,volume
ETH-USD,backtest_v2,2026-01-11 05:00:00+00:00,3094.24,3098.34,3095.39,3092.14,122373866.2178,378794841751.91595,617.56227659
ETH-USD,backtest_v2,2026-01-11 06:00:00+00:00,3095.4,3097.11,3093.49,3086.02,122373866.2178,378562331406.1021,830.09171245
ETH-USD,backtest_v2,2026-01-11 07:00:00+00:00,3093.49,3094.42,3091.11,3088.68,122373866.2178,378271081604.5038,404.57208316
ETH-USD,backtest_v2,2026-01-11 08:00:00+00:00,3091.11,3104.17,3099.35,3088.69,122373866.2178,379279442262.1384,961.61401971
ETH-USD,backtest_v2,2026-01-11 09:00:00+00:00,3099.3,3105.44,3100.22,3096.53,122373866.2178,379385907525.7479,1260.40583391
ETH-USD,backtest_v2,2026-01-11 10:00:00+00:00,3100.21,3104.41,3103.33,3098.35,122373866.2178,379766490249.6853,526.64184553
ETH-USD,backtest_v2,2026-01-11 11:00:00+00:00,3103.46,3103.84,3101.28,3099.14,122373866.2178,379515623823.93884,488.1886035
ETH-USD,backtest_v2,2026-01-11 12:00:00+00:00,3101.26,3112.61,3110.11,3100.6,122373866.2178,380596185062.64197,2872.73683391
ETH-USD,backtest_v2,2026-01-11 13:00:00+00:00,3110.11,3112.39,3105.55,3103.12,122373866.2178,380038160232.68884,824.93435087
ETH-USD,backtest_v2,2026-01-11 14:00:00+00:00,3105.54,3124.94,3121.38,3105.26,122373866.2178,381975338534.9166,910.67592952
ETH-USD,backtest_v2,2026-01-11 15:00:00+00:00,3121.38,3126.58,3113.92,3105.91,122373866.2178,381062429492.9318,2277.90677855
ETH-USD,backtest_v2,2026-01-11 16:00:00+00:00,3113.92,3142.41,3124.96,3111.2,122373866.2178,382413436975.9763,4101.02002135
ETH-USD,backtest_v2,2026-01-11 17:00:00+00:00,3125.0,3129.54,3122.51,3113.0,122373866.2178,382113621003.74274,1613.01969182
ETH-USD,backtest_v2,2026-01-11 18:00:00+00:00,3122.51,3129.49,3124.67,3115.78,122373866.2178,382377948554.77313,2501.10114229
ETH-USD,backtest_v2,2026-01-11 19:00:00+00:00,3124.67,3128.32,3119.79,3113.88,122373866.2178,381780764087.63025,1313.74799265
ETH-USD,backtest_v2,2026-01-11 20:00:00+00:00,3119.8,3119.8,3110.4,3096.6,122373866.2178,380631673483.84515,2525.54398171
ETH-USD,backtest_v2,2026-01-11 21:00:00+00:00,3110.28,3121.48,3116.48,3103.09,122373866.2178,381375706590.44934,1758.58615207
ETH-USD,backtest_v2,2026-01-11 22:00:00+00:00,3116.26,3116.26,3104.92,3102.02,122373866.2178,379961064696.9716,1549.48804475
ETH-USD,backtest_v2,2026-01-11 23:00:00+00:00,3105.07,3122.28,3118.65,3086.34,122373866.2178,381641257880.142,7549.28708306
ETH-USD,backtest_v2,2026-01-12 00:00:00+00:00,3118.82,3122.97,3115.49,3092.88,122373866.2178,381254556462.89374,3763.57939928
ETH-USD,backtest_v2,2026-01-12 01:00:00+00:00,3115.49,3133.18,3120.63,3109.41,122373866.2178,381883558135.25323,3029.68397557
ETH-USD,backtest_v2,2026-01-12 02:00:00+00:00,3120.51,3164.29,3153.84,3117.82,122373866.2178,385947594232.3464,6998.81005926
ETH-USD,backtest_v2,2026-01-12 03:00:00+00:00,3153.64,3167.27,3147.97,3146.88,122373866.2178,385229259637.6479,3469.23694109
ETH-USD,backtest_v2,2026-01-12 04:00:00+00:00,3147.97,3159.52,3154.73,3144.09,122373866.2178,386056506973.2802,1773.51327388
ETH-USD,backtest_v2,2026-01-12 05:00:00+00:00,3154.74,3162.96,3154.53,3150.56,122373866.2178,386032032200.0367,2136.59456858
ETH-USD,backtest_v2,2026-01-12 06:00:00+00:00,3154.53,3161.48,3150.82,3148.4,122373866.2178,385578025156.36865,1482.43548621
ETH-USD,backtest_v2,2026-01-12 07:00:00+00:00,3150.82,3157.37,3130.8,3128.79,122373866.2178,383128100354.6883,3287.27544698
ETH-USD,backtest_v2,2026-01-12 08:00:00+00:00,3130.8,3143.71,3111.42,3097.13,122373866.2178,380756494827.3873,3795.52790972
ETH-USD,backtest_v2,2026-01-12 09:00:00+00:00,3111.43,3120.48,3112.4,3106.46,122373866.2178,380876421216.28076,1935.10269649
ETH-USD,backtest_v2,2026-01-12 10:00:00+00:00,3112.41,3115.8,3102.6,3099.56,122373866.2178,379677157327.3463,1851.7114389
ETH-USD,backtest_v2,2026-01-12 11:00:00+00:00,3102.6,3117.06,3111.31,3102.21,122373866.2178,380743033702.10333,1704.6276166
ETH-USD,backtest_v2,2026-01-12 12:00:00+00:00,3111.31,3119.4,3113.37,3108.18,122373866.2178,380995123866.51196,1488.20943429
ETH-USD,backtest_v2,2026-01-12 13:00:00+00:00,3113.32,3116.19,3105.19,3100.1,122373866.2178,379994105640.8504,2093.03827215
ETH-USD,backtest_v2,2026-01-12 14:00:00+00:00,3104.96,3112.44,3101.4,3062.02,122373866.2178,379530308687.88495,9448.89827019
ETH-USD,backtest_v2,2026-01-12 15:00:00+00:00,3101.4,3130.49,3127.2,3088.69,122373866.2178,382687554436.30414,6312.71609654
ETH-USD,backtest_v2,2026-01-12 16:00:00+00:00,3126.87,3144.82,3128.0,3117.9,122373866.2178,382785453529.27844,5761.84656377
ETH-USD,backtest_v2,2026-01-12 17:00:00+00:00,3127.99,3134.48,3101.95,3082.98,122373866.2178,379597614314.3047,4862.15453275
ETH-USD,backtest_v2,2026-01-12 18:00:00+00:00,3101.95,3116.88,3105.37,3092.44,122373866.2178,380016132936.7696,5018.79380294
