ticker,caller,low,high,Open,close,volume,timestamp,supply,eth_daily_tx,market_cap,btc_open,btc_high,btc_low,btc_close,btc_volume
ETH-USD,main,3087.93,3110.62,3104.84,3094.05,1882.72011194,2026-01-13 01:00:00+00:00,122373866.2178,2319935.0,378630860771.18414,91366.82,91440.8,90925.17,91084.04,186.38143459
ETH-USD,main,3094.05,3104.46,3094.05,3097.69,1450.54018457,2026-01-13 02:00:00+00:00,122373866.2178,2319935.0,379076301644.2169,91084.04,91277.99,91007.01,91018.04,127.10324152
ETH-USD,main,3097.68,3115.22,3097.68,3112.53,2401.28817774,2026-01-13 03:00:00+00:00,122373866.2178,2319935.0,380892329818.8891,91018.04,91357.99,91012.0,91310.01,149.71524655
ETH-USD,main,3108.6,3119.83,3112.54,3118.47,1496.20904602,2026-01-13 04:00:00+00:00,122373866.2178,2319935.0,381619230584.2228,91310.01,91565.0,91236.0,91406.77,114.35782702
ETH-USD,main,3117.61,3142.8,3118.47,3128.2,2478.9777162,2026-01-13 05:00:00+00:00,122373866.2178,2319935.0,382809928302.522,91407.63,92156.93,91375.83,91820.24,322.4740942
ETH-USD,main,3119.86,3133.78,3128.21,3130.74,2122.88493977,2026-01-13 06:00:00+00:00,122373866.2178,2319935.0,383120757922.71515,91818.0,92188.0,91694.21,92085.12,235.90605527
ETH-USD,main,3118.48,3131.82,3130.9,3118.52,963.68353124,2026-01-13 07:00:00+00:00,122373866.2178,2319935.0,381625349277.5337,92085.13,92111.4,91773.73,91837.19,142.33513753
ETH-USD,main,3118.4,3134.88,3118.5,3132.78,902.80037922,2026-01-13 08:00:00+00:00,122373866.2178,2319935.0,383370400609.7995,91842.01,92163.81,91831.08,92076.41,138.64020344
ETH-USD,main,3125.94,3145.19,3132.77,3135.78,2652.23940399,2026-01-13 09:00:00+00:00,122373866.2178,2319935.0,383737522208.45294,92076.41,92590.0,91854.2,92186.3,508.57197504
ETH-USD,main,3127.07,3138.82,3135.78,3131.7,1117.01256281,2026-01-13 10:00:00+00:00,122373866.2178,2319935.0,383238236834.28424,92186.3,92259.89,91928.7,92040.2,113.07207045
ETH-USD,main,3128.02,3135.85,3131.71,3130.67,691.05964519,2026-01-13 11:00:00+00:00,122373866.2178,2319935.0,383112191752.07996,92040.2,92166.3,91860.63,91895.69,144.49287268
ETH-USD,main,3126.43,3135.06,3130.68,3132.22,1299.08595858,2026-01-13 12:00:00+00:00,122373866.2178,2319935.0,383301871244.7175,91900.0,92058.55,91810.88,92019.13,104.43545894
ETH-USD,main,3126.89,3157.56,3132.22,3139.33,6319.40658625,2026-01-13 13:00:00+00:00,122373866.2178,2319935.0,384171949433.52606,92019.13,92539.93,91882.27,91973.55,541.71139114
ETH-USD,main,3127.32,3163.2,3139.32,3142.24,7853.31957535,2026-01-13 14:00:00+00:00,122373866.2178,2319935.0,384528057384.21985,91970.71,92851.88,91681.16,92394.72,1366.37009069
